op_index,op_name,op_type,cores,num_cores,partition,input_tensors,output_tensor,transform_ms,compute_ms,local_dram_ms,local_sram_ms,max_weight_capacity_per_core_bytes,max_kv_capacity_per_core_bytes,max_io_capacity_per_core_bytes,cumulative_weight_capacity_per_core_bytes,cumulative_kv_capacity_per_core_bytes,max_io_capacity_per_core_so_far_bytes,internal_comm_ms,op_latency_ms,step_latency_ms,compute_start_time_ms,prefetch_window_ms,prefetch_dram_hidden_ms,prefetch_sram_utilization_at_compute_start,prefetch_sram_full_time_ms,dram_stream_break_count,dram_restart_penalty_ms,exposed_time_after_step_ms,bottleneck,transform_comm_semantics,internal_comm_semantics,notes
0,0_ATTN_x_rsqrt,RMSNORM,0-7,8,hidden_split,residual=<missing>,ATTN_x_rsqrt=hidden@0-7,0.000000000,0.000035000,0.000000000,0.000000000,0.0,0.0,7168.0,0.0,0.0,7168.0,0.000036526,0.000071526,0.000071526,0.000000000,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000071526,communication,residual:none(missing_input),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
1,0_ATTN_hc_fn_linear,GEMM,0-255,256,input_split,residual=<missing>,ATTN_F=replicated@0-255,0.000000000,0.000004000,0.000010726,0.000000000,2688.0,0.0,136.0,2688.0,0.0,7168.0,0.000138417,0.000142417,0.000142417,0.000071526,0.000071526,0.000010726,0.029874091,,0,0.000000000,0.000203216,communication,residual:none(missing_input),allreduce(output),{'meaning': 'split K/input features; row parallel; allreduce output'}
2,0_ATTN_F_rsqrt,ELEMENTWISE,0,1,hidden_split,ATTN_F=replicated@0-255; ATTN_x_rsqrt=hidden@0-7,ATTN_pre_post_comb=hidden@0,0.000000000,0.000000500,0.000000000,0.000000000,0.0,0.0,48.0,2688.0,0.0,7168.0,0.000000000,0.000000500,0.000000500,0.000213943,0.000203216,0.000000000,0.084876879,,0,0.000000000,0.000203716,compute,ATTN_F:none(replicated_local_slice); ATTN_x_rsqrt:none(compatible_shards+redundant_compute_representative_group),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
3,0_ATTN_pre_x,ELEMENTWISE,0-127,128,hidden_split,previous=hidden@0,chain_output=hidden@0-127,0.000000000,0.000000500,0.000000000,0.000000000,0.0,0.0,448.0,2688.0,0.0,7168.0,0.000000000,0.000000500,0.000000500,0.000214443,0.000203716,0.000000000,0.085085713,,0,0.000000000,0.000204216,compute,previous:none(compatible_shards+redundant_compute_representative_group),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
4,0_ATTN_pre_x_reducesum,REDUCE_SUM,0-3,4,hidden_split,previous=hidden@0-127,chain_output=hidden@0-3,0.000000000,0.000010500,0.000000000,0.000000000,0.0,0.0,8960.0,2688.0,0.0,8960.0,0.000000000,0.000010500,0.000010500,0.000214943,0.000204216,0.000000000,0.085294546,,0,0.000000000,0.000214716,compute,previous:none(compatible_shards+redundant_compute_representative_group),none,{'meaning': 'split output hidden; reduce_dim is local'}
5,0_ATTN_attn_norm,RMSNORM,0,1,batch_split,previous=hidden@0-3,attn_norm_output=batch_size@0,0.000016750,0.000070000,0.000000000,0.000000000,0.0,0.0,14336.0,2688.0,0.0,14336.0,0.000000000,0.000070000,0.000086750,0.000242193,0.000231466,0.000000000,0.096675981,,0,0.000000000,0.000301466,compute,previous:alltoall_reshuffle(sharded_to_sharded_or_replicated+redundant_compute_representative_group),none,{'meaning': 'split batch/tokens; full hidden per core'}
6,0_q_a_linear,GEMM,0-255,256,output_split,attn_norm_output=batch_size@0,chain_output=q_lora_rank@0-255,0.000000000,0.000112000,0.000171620,0.000000000,43008.0,0.0,7174.0,45696.0,0.0,14336.0,0.000000000,0.000112000,0.000112000,0.000312193,0.000301466,0.000171620,0.125912694,,0,0.000000000,0.000241847,compute,attn_norm_output:allgather(previous_shards_to_replicated+redundant_compute_representative_group),none,{'meaning': 'split N/output features; column parallel'}
7,0_q_norm,RMSNORM,0,1,batch_split,previous=q_lora_rank@0-255,q_lora_normed=batch_size@0,0.000087000,0.000015000,0.000000000,0.000000000,0.0,0.0,3072.0,45696.0,0.0,14336.0,0.000000000,0.000015000,0.000102000,0.000511193,0.000328847,0.000000000,0.137348492,,0,0.000000000,0.000343847,compute,previous:alltoall_reshuffle(sharded_to_sharded_or_replicated),none,{'meaning': 'split batch/tokens; full hidden per core'}
8,0_q_b_linear,GEMM,0-255,256,output_split,q_lora_normed=batch_size@0,chain_output=heads*head_dim@0-255,0.000000000,0.000384000,0.001569096,0.000000000,393216.0,0.0,1792.0,438912.0,0.0,14336.0,0.000000000,0.001225249,0.001225249,0.000526193,0.000343847,0.000343847,0.143613502,,0,0.000000000,0.000000000,local_dram,q_lora_normed:allgather(previous_shards_to_replicated+redundant_compute_representative_group),none,{'meaning': 'split N/output features; column parallel'}
9,0_qb_rnorm,RMSNORM,0-31,32,hidden_split,previous=heads*head_dim@0-255,query_heads_normed=heads*head_dim@0-31,0.000113250,0.000020000,0.000000000,0.000000000,0.0,0.0,4096.0,438912.0,0.0,14336.0,0.000065043,0.000085043,0.000198293,0.001864692,0.000113250,0.000000000,0.047300825,,0,0.000000000,0.000198293,communication,previous:alltoall_reshuffle(sharded_to_sharded),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
